4.775000000000000000e+02 6.989347511102710353e-01 3.010652488896872203e-01
4.800000000000000000e+02 8.866372151482810882e-01 1.133627848516746833e-01
4.825000000000000000e+02 8.632214182578350492e-01 1.367785817421210415e-01
4.850000000000000000e+02 6.443921672795562827e-01 3.556078327203999745e-01
4.875000000000000000e+02 3.534474371855880759e-01 6.465525628143671266e-01
4.900000000000000000e+02 1.517827796760047032e-01 8.482172203239480845e-01
4.925000000000000000e+02 1.479778923281882541e-01 8.520221076717664488e-01
4.950000000000000000e+02 3.380464273819145937e-01 6.619535726180412194e-01
4.975000000000000000e+02 6.110586587347264231e-01 3.889413412652294455e-01
5.000000000000000000e+02 8.149869310576915993e-01 1.850130689422620212e-01
5.025000000000000000e+02 8.425135147978887185e-01 1.574864852020650408e-01
5.050000000000000000e+02 6.873309775663801746e-01 3.126690224335734181e-01
5.075000000000000000e+02 4.418264219559986383e-01 5.581735780439566197e-01
5.100000000000000000e+02 2.419421508836884782e-01 7.580578491162668353e-01
5.125000000000000000e+02 1.926694018882289527e-01 8.073305981117269159e-01
5.150000000000000000e+02 3.142309750914401567e-01 6.857690249085170997e-01
5.175000000000000000e+02 5.349841730978753818e-01 4.650158269020829294e-01
5.200000000000000000e+02 7.323974590354939140e-01 2.676025409644620101e-01
5.225000000000000000e+02 7.998333369885393118e-01 2.001666630114172230e-01
5.250000000000000000e+02 7.040638858743889505e-01 2.959361141255671401e-01
5.275000000000000000e+02 5.025835787116669229e-01 4.974164212882892788e-01
5.300000000000000000e+02 3.104354829924422243e-01 6.895645170075095365e-01
5.325000000000000000e+02 2.343519250409633048e-01 7.656480749589897883e-01
5.350000000000000000e+02 3.120264812469156213e-01 6.879735187530363616e-01
5.375000000000000000e+02 4.925211147750919172e-01 5.074788852248606208e-01
5.400000000000000000e+02 6.690851835750626364e-01 3.309148164248886803e-01
5.425000000000000000e+02 7.432609270165462245e-01 2.567390729834048146e-01
5.450000000000000000e+02 6.806388802918604819e-01 3.193611197080900022e-01
5.475000000000000000e+02 5.258914235563334483e-01 4.741085764436159811e-01
5.500000000000000000e+02 3.715802554967029270e-01 6.284197445032450036e-01
5.525000000000000000e+02 3.028867798987235904e-01 6.971132201012262275e-01
5.550000000000000000e+02 3.515601587983383514e-01 6.484398412016105784e-01
5.575000000000000000e+02 4.829567148416605837e-01 5.170432851582882350e-01
5.600000000000000000e+02 6.194651449163698365e-01 3.805348550835780941e-01
5.625000000000000000e+02 6.849555630755115310e-01 3.150444369244361220e-01
5.650000000000000000e+02 6.461303206597214244e-01 3.538696793402270613e-01
5.675000000000000000e+02 5.295335248562051955e-01 4.704664751437442893e-01
5.700000000000000000e+02 4.054050191883296628e-01 5.945949808116189894e-01
5.725000000000000000e+02 3.466973996046984752e-01 6.533026003952506766e-01
5.750000000000000000e+02 3.859464954276295989e-01 6.140535045723189977e-01
5.775000000000000000e+02 4.957940809764052603e-01 5.042059190235409494e-01
5.800000000000000000e+02 6.062677423787108388e-01 3.937322576212330394e-01
5.825000000000000000e+02 6.489740206328152849e-01 3.510259793671290929e-01
5.850000000000000000e+02 6.000879033093755588e-01 3.999120966905692076e-01
5.875000000000000000e+02 4.941570869079784378e-01 5.058429130919657180e-01
5.900000000000000000e+02 4.001939211155911558e-01 5.998060788843518898e-01
5.925000000000000000e+02 3.767706202665245252e-01 6.232293797334177432e-01
5.950000000000000000e+02 4.359546998396389150e-01 5.640453001603047412e-01
5.975000000000000000e+02 5.382598233522881692e-01 4.617401766476554315e-01
6.000000000000000000e+02 6.192878923039438765e-01 3.807121076959982808e-01
6.025000000000000000e+02 6.294382123695005937e-01 3.705617876304403979e-01
6.050000000000000000e+02 5.626819328963671429e-01 4.373180671035724609e-01
6.075000000000000000e+02 4.591749436228967918e-01 5.408250563770409247e-01
6.100000000000000000e+02 3.817286011857405348e-01 6.182713988141947947e-01
6.125000000000000000e+02 3.794489112993405522e-01 6.205510887005950549e-01
6.150000000000000000e+02 4.580503249943860267e-01 5.419496750055473600e-01
6.175000000000000000e+02 5.736897432829131116e-01 4.263102567170198864e-01
6.200000000000000000e+02 6.560271683418017474e-01 3.439728316581310841e-01
6.225000000000000000e+02 6.499069527314220718e-01 3.500930472685109818e-01
6.250000000000000000e+02 5.517137516084713589e-01 4.482862483914594742e-01
6.275000000000000000e+02 4.162196802209022772e-01 5.837803197790277787e-01
6.300000000000000000e+02 3.261846616973991808e-01 6.738153383025349275e-01
6.325000000000000000e+02 3.413241114365698214e-01 6.586758885633641203e-01
6.350000000000000000e+02 4.588256630902262101e-01 5.411743369097045120e-01
6.375000000000000000e+02 6.120207974590993194e-01 3.879792025408315692e-01
6.400000000000000000e+02 7.094516727270487877e-01 2.905483272728806576e-01
6.425000000000000000e+02 6.901220473433909985e-01 3.098779526565384468e-01
6.450000000000000000e+02 5.607032757029261072e-01 4.392967242970032826e-01
6.475000000000000000e+02 3.926930833092394657e-01 6.073069166906903682e-01
6.500000000000000000e+02 2.821424348493553058e-01 7.178575651505757493e-01
6.525000000000000000e+02 2.955145863963513642e-01 7.044854136035788583e-01
6.550000000000000000e+02 4.315132421520898043e-01 5.684867578478407513e-01
