# time_fs  P_UP  P_LP  P_GS  P_DS
1.025000000000000000e+02 2.423087115088837229e-01 7.482327810004411051e-01 0.000000000000000000e+00 9.458507490675551951e-03
1.050000000000000000e+02 2.327365324356469312e-01 7.582798135102359893e-01 0.000000000000000000e+00 8.983654054118900972e-03
1.075000000000000000e+02 2.253687907000302137e-01 7.617700031795179294e-01 0.000000000000000000e+00 1.286120612045405821e-02
1.100000000000000000e+02 2.195371999497617022e-01 7.636702151340049038e-01 0.000000000000000000e+00 1.679258491623508015e-02
1.125000000000000000e+02 2.140315708836427744e-01 7.698841657729567078e-01 0.000000000000000000e+00 1.608426334340267230e-02
1.150000000000000000e+02 2.076306744979604102e-01 7.819234411983888577e-01 0.000000000000000000e+00 1.044588430365346252e-02
1.175000000000000000e+02 1.998092092875876913e-01 7.961769092901722633e-01 0.000000000000000000e+00 4.013881422242383812e-03
1.200000000000000000e+02 1.909264895320296473e-01 8.081921039753177105e-01 0.000000000000000000e+00 8.814064926552974679e-04
1.225000000000000000e+02 1.817273340785139357e-01 8.170899553825964334e-01 0.000000000000000000e+00 1.182710538892693935e-03
1.250000000000000000e+02 1.727705410763330507e-01 8.253166732742347467e-01 0.000000000000000000e+00 1.912785649434351094e-03
1.275000000000000000e+02 1.642196946491619181e-01 8.345939893455119885e-01 0.000000000000000000e+00 1.186316005328694060e-03
1.300000000000000000e+02 1.558203772664373266e-01 8.435468128794544329e-01 0.000000000000000000e+00 6.328098541100135284e-04
1.325000000000000000e+02 1.469856897450324829e-01 8.499886808900092294e-01 0.000000000000000000e+00 3.025629364959778710e-03
1.350000000000000000e+02 1.371953648254789215e-01 8.545841164270200352e-01 0.000000000000000000e+00 8.220518747502233298e-03
1.375000000000000000e+02 1.265007589376875574e-01 8.609865678396670940e-01 0.000000000000000000e+00 1.251267322264704510e-02
1.400000000000000000e+02 1.155866045870164449e-01 8.720151640342965749e-01 0.000000000000000000e+00 1.239823137868830034e-02
1.425000000000000000e+02 1.053725981412736434e-01 8.860675313465360414e-01 0.000000000000000000e+00 8.559870512190233607e-03
1.450000000000000000e+02 9.660249034941807700e-02 8.979537532120283050e-01 0.000000000000000000e+00 5.443756438552476568e-03
1.475000000000000000e+02 8.958520462368210757e-02 9.038267849460497327e-01 0.000000000000000000e+00 6.588010430266856912e-03
1.500000000000000000e+02 8.406365680619294622e-02 9.051882202460279636e-01 0.000000000000000000e+00 1.074812294777756014e-02
1.525000000000000000e+02 7.934393585153001749e-02 9.074537214017172060e-01 0.000000000000000000e+00 1.320234274675144252e-02
1.550000000000000000e+02 7.466473582682664478e-02 9.144870807632620169e-01 0.000000000000000000e+00 1.084818340991022985e-02
1.575000000000000000e+02 6.952118083880860777e-02 9.250265042208904998e-01 0.000000000000000000e+00 5.452314940299596638e-03
1.600000000000000000e+02 6.378828704156980223e-02 9.346223207177180026e-01 0.000000000000000000e+00 1.589392240711173885e-03
1.625000000000000000e+02 5.770050232871880291e-02 9.405875604027105208e-01 0.000000000000000000e+00 1.711937268570493500e-03
1.650000000000000000e+02 5.170796118377214701e-02 9.444523363636945223e-01 0.000000000000000000e+00 3.839702452533446438e-03
1.675000000000000000e+02 4.618919219887319266e-02 9.494687420583252102e-01 0.000000000000000000e+00 4.342065742801390696e-03
1.700000000000000000e+02 4.116453364066839649e-02 9.564006415507766423e-01 0.000000000000000000e+00 2.434824808554806805e-03
1.725000000000000000e+02 3.630596048748108845e-02 9.626893841112993400e-01 0.000000000000000000e+00 1.004655401218822403e-03
1.750000000000000000e+02 3.130242642131037673e-02 9.658302185500323711e-01 0.000000000000000000e+00 2.867355028656694456e-03
1.775000000000000000e+02 2.617265005537332268e-02 9.667511462765606689e-01 0.000000000000000000e+00 7.076203668064638859e-03
1.800000000000000000e+02 2.116812381805455862e-02 9.691335448198199476e-01 0.000000000000000000e+00 9.698331362123429472e-03
1.825000000000000000e+02 1.654030976397711378e-02 9.752705905504008843e-01 0.000000000000000000e+00 8.189099685619923713e-03
1.850000000000000000e+02 1.255733542993160701e-02 9.830627667740312603e-01 0.000000000000000000e+00 4.379897796035155111e-03
1.875000000000000000e+02 9.507885672621188555e-03 9.879049732799841665e-01 0.000000000000000000e+00 2.587141047392695504e-03
1.900000000000000000e+02 7.408364313803025847e-03 9.877765124682620357e-01 0.000000000000000000e+00 4.815123217933724165e-03
1.925000000000000000e+02 5.886712376405953823e-03 9.856385383117860499e-01 0.000000000000000000e+00 8.474749311807305840e-03
1.950000000000000000e+02 4.582967946386999440e-03 9.861108168164745003e-01 0.000000000000000000e+00 9.306215237137694524e-03
1.975000000000000000e+02 3.457982657953849025e-03 9.903393012957110164e-01 0.000000000000000000e+00 6.202716046333850430e-03
2.000000000000000000e+02 2.545730485405055081e-03 9.949922562101617407e-01 0.000000000000000000e+00 2.462013304431437399e-03
2.025000000000000000e+02 1.711154837759760756e-03 9.962012909015424134e-01 0.000000000000000000e+00 2.087554260696044758e-03
2.050000000000000000e+02 8.978999813473065479e-04 9.938033680912576884e-01 0.000000000000000000e+00 5.298731927393231754e-03
2.075000000000000000e+02 3.536154055873104224e-04 9.913371154278280972e-01 0.000000000000000000e+00 8.309269166582837138e-03
2.100000000000000000e+02 3.265804622111050906e-04 9.920033034644254455e-01 0.000000000000000000e+00 7.670116073361310342e-03
2.125000000000000000e+02 7.257079330749613942e-04 9.950871910462817382e-01 0.000000000000000000e+00 4.187101020641538322e-03
2.150000000000000000e+02 1.381091277160819124e-03 9.967534934599795449e-01 0.000000000000000000e+00 1.865415262858681044e-03
2.175000000000000000e+02 2.492613449388252165e-03 9.942877492000714579e-01 0.000000000000000000e+00 3.219637350538736079e-03
2.200000000000000000e+02 4.436625928878426030e-03 9.891074658571767930e-01 0.000000000000000000e+00 6.455908213943947413e-03
2.225000000000000000e+02 7.180942249897771801e-03 9.851773219440900231e-01 0.000000000000000000e+00 7.641735806010531949e-03
2.250000000000000000e+02 1.029615912422369994e-02 9.844576593056721947e-01 0.000000000000000000e+00 5.246181570102745328e-03
2.275000000000000000e+02 1.350716003902944010e-02 9.846116802124277312e-01 0.000000000000000000e+00 1.881159748542089944e-03
2.300000000000000000e+02 1.677951034383280693e-02 9.819506715352704918e-01 0.000000000000000000e+00 1.269818120895464461e-03
2.325000000000000000e+02 1.993539475249405876e-02 9.761496057691614325e-01 0.000000000000000000e+00 3.914999478344790597e-03
2.350000000000000000e+02 2.277580755458687503e-02 9.706703122241508996e-01 0.000000000000000000e+00 6.553880221262031909e-03
2.375000000000000000e+02 2.560800790332953131e-02 9.683004707849496295e-01 0.000000000000000000e+00 6.091521311721328352e-03
2.400000000000000000e+02 2.906366031335401445e-02 9.675445056980163105e-01 0.000000000000000000e+00 3.391833988629485482e-03
2.425000000000000000e+02 3.330512390240407405e-02 9.642408504090644872e-01 0.000000000000000000e+00 2.454025688531924487e-03
2.450000000000000000e+02 3.791208946743429564e-02 9.562919901099825593e-01 0.000000000000000000e+00 5.795920422583606541e-03
2.475000000000000000e+02 4.259130786975252880e-02 9.461725746338627285e-01 0.000000000000000000e+00 1.123611749638545564e-02
2.500000000000000000e+02 4.748566777690019225e-02 9.386283766228712411e-01 0.000000000000000000e+00 1.388595560022910791e-02
2.525000000000000000e+02 5.272912521775993677e-02 9.359327012680702662e-01 0.000000000000000000e+00 1.133817351417005029e-02
2.550000000000000000e+02 5.827210037153542771e-02 9.354910473457591635e-01 0.000000000000000000e+00 6.236852282706055808e-03
2.575000000000000000e+02 6.437136318316029338e-02 9.323051611459808319e-01 0.000000000000000000e+00 3.323475670859597254e-03
