# time_fs  P_exc  P_photon
4.250000000000000000e+02 3.770265469617778420e-02 9.622973453038266012e-01
4.275000000000000000e+02 5.547558297846714309e-02 9.445244170215386648e-01
4.300000000000000000e+02 3.172703691333724763e-01 6.827296308666344071e-01
4.325000000000000000e+02 6.807951324932106640e-01 3.192048675067969410e-01
4.350000000000000000e+02 9.467299547478944532e-01 5.327004525211449792e-02
4.375000000000000000e+02 9.685320822999166079e-01 3.146791770009220446e-02
4.400000000000000000e+02 7.345428279451842180e-01 2.654571720548251634e-01
4.425000000000000000e+02 3.748169734541944575e-01 6.251830265458149238e-01
4.450000000000000000e+02 8.791685442448574084e-02 9.120831455755236128e-01
4.475000000000000000e+02 2.984031437475162529e-02 9.701596856252585610e-01
4.500000000000000000e+02 2.288096769520423790e-01 7.711903230479685289e-01
4.525000000000000000e+02 5.729173449942606133e-01 4.270826550057498783e-01
4.550000000000000000e+02 8.745470305601577010e-01 1.254529694398537065e-01
4.575000000000000000e+02 9.731154958887027195e-01 2.688450411130838269e-02
4.600000000000000000e+02 8.196891839089275322e-01 1.803108160910838476e-01
4.625000000000000000e+02 5.001984590536358022e-01 4.998015409463753556e-01
4.650000000000000000e+02 1.876441343519095195e-01 8.123558656481023599e-01
4.675000000000000000e+02 4.950916069205202330e-02 9.504908393079610773e-01
4.700000000000000000e+02 1.584984322940475587e-01 8.415015677059667354e-01
4.725000000000000000e+02 4.534315937089387072e-01 5.465684062910747265e-01
4.750000000000000000e+02 7.721433990013815141e-01 2.278566009986325858e-01
4.775000000000000000e+02 9.401608244068195841e-01 5.983917559319351653e-02
4.800000000000000000e+02 8.671643109424357343e-01 1.328356890575770888e-01
4.825000000000000000e+02 5.968177983085443117e-01 4.031822016914693996e-01
4.850000000000000000e+02 2.809418270825735364e-01 7.190581729174394532e-01
4.875000000000000000e+02 9.303123800865864546e-02 9.069687619913542331e-01
4.900000000000000000e+02 1.317125182596293465e-01 8.682874817403831713e-01
4.925000000000000000e+02 3.692343190676733999e-01 6.307656809323392011e-01
4.950000000000000000e+02 6.716842864038257144e-01 3.283157135961872197e-01
4.975000000000000000e+02 8.756661964085075134e-01 1.243338035915055040e-01
5.000000000000000000e+02 8.764716988741834136e-01 1.235283011258292846e-01
5.025000000000000000e+02 6.805740847705450403e-01 3.194259152294681159e-01
5.050000000000000000e+02 3.977853356843136790e-01 6.022146643157005874e-01
5.075000000000000000e+02 1.804535756029682914e-01 8.195464243970471685e-01
5.100000000000000000e+02 1.424916284574831438e-01 8.575083715425314557e-01
5.125000000000000000e+02 2.998497608528529756e-01 7.001502391471634557e-01
5.150000000000000000e+02 5.632419832152932848e-01 4.367580167847232575e-01
5.175000000000000000e+02 7.875031756588430909e-01 2.124968243411735624e-01
5.200000000000000000e+02 8.516066032434697064e-01 1.483933967565480572e-01
5.225000000000000000e+02 7.252100588755193700e-01 2.747899411244976164e-01
5.250000000000000000e+02 4.837094827662490881e-01 5.162905172337679538e-01
5.275000000000000000e+02 2.631630928135217928e-01 7.368369071864948605e-01
5.300000000000000000e+02 1.822650202085647764e-01 8.177349797914521545e-01
5.325000000000000000e+02 2.776293939316570869e-01 7.223706060683610097e-01
5.350000000000000000e+02 4.886188567624198953e-01 5.113811432375979793e-01
5.375000000000000000e+02 6.966419852898610987e-01 3.033580147101573865e-01
5.400000000000000000e+02 7.925340862154249821e-01 2.074659137845938639e-01
5.425000000000000000e+02 7.331257386842680024e-01 2.668742613157510934e-01
5.450000000000000000e+02 5.587043416003576457e-01 4.412956583996612281e-01
5.475000000000000000e+02 3.666053593030902946e-01 6.333946406969293008e-01
5.500000000000000000e+02 2.579666572147878423e-01 7.420333427852319197e-01
5.525000000000000000e+02 2.855090730384215458e-01 7.144909269615974390e-01
5.550000000000000000e+02 4.280301456290598328e-01 5.719698543709589300e-01
5.575000000000000000e+02 6.040221651846036099e-01 3.959778348154157079e-01
5.600000000000000000e+02 7.172794845524410601e-01 2.827205154475782023e-01
5.625000000000000000e+02 7.099934736828841242e-01 2.900065263171354157e-01
5.650000000000000000e+02 5.934720609756704013e-01 4.065279390243485835e-01
5.675000000000000000e+02 4.385932147257550762e-01 5.614067852742643527e-01
5.700000000000000000e+02 3.322749639833204038e-01 6.677250360166988585e-01
5.725000000000000000e+02 3.273407968068402507e-01 6.726592031931789561e-01
5.750000000000000000e+02 4.161877904325904098e-01 5.838122095674294076e-01
5.775000000000000000e+02 5.416424778444723920e-01 4.583575221555466483e-01
5.800000000000000000e+02 6.342354559261418334e-01 3.657645440738779286e-01
5.825000000000000000e+02 6.508328009484811716e-01 3.491671990515383683e-01
5.850000000000000000e+02 5.930726307366043226e-01 4.069273692634154393e-01
5.875000000000000000e+02 4.996736656981662916e-01 5.003263343018530263e-01
5.900000000000000000e+02 4.217223168947676348e-01 5.782776831052512945e-01
5.925000000000000000e+02 3.959946909559176609e-01 6.040053090441011019e-01
5.950000000000000000e+02 4.287266061601432976e-01 5.712733938398745215e-01
5.975000000000000000e+02 4.957714926926636290e-01 5.042285073073546897e-01
6.000000000000000000e+02 5.578748228163611378e-01 4.421251771836577915e-01
6.025000000000000000e+02 5.830610367065138799e-01 4.169389632935048828e-01
6.050000000000000000e+02 5.639534624059500123e-01 4.360465375940688615e-01
6.075000000000000000e+02 5.196110912745262045e-01 4.803889087254913370e-01
6.100000000000000000e+02 4.805703530442227978e-01 5.194296469557955209e-01
6.125000000000000000e+02 4.675479458336669891e-01 5.324520541663508855e-01
6.150000000000000000e+02 4.793112672490835724e-01 5.206887327509351904e-01
6.175000000000000000e+02 4.980812630019860188e-01 5.019187369980331326e-01
6.200000000000000000e+02 5.067074777654908546e-01 4.932925222345280192e-01
6.225000000000000000e+02 5.027172873437943945e-01 4.972827126562249789e-01
6.250000000000000000e+02 4.979706058677664249e-01 5.020293941322531150e-01
6.275000000000000000e+02 5.055764049645410374e-01 4.944235950354784470e-01
6.300000000000000000e+02 5.263706033046416932e-01 4.736293966953776247e-01
6.325000000000000000e+02 5.465619314698342279e-01 4.534380685301855340e-01
6.350000000000000000e+02 5.479173665156533701e-01 4.520826334843655592e-01
6.375000000000000000e+02 5.219697007674199973e-01 4.780302992325995426e-01
6.400000000000000000e+02 4.778357645230776329e-01 5.221642354769409078e-01
6.425000000000000000e+02 4.387965534306180193e-01 5.612034465694002439e-01
6.450000000000000000e+02 4.300156263837393023e-01 5.699843736162778507e-01
6.475000000000000000e+02 4.639089943450223075e-01 5.360910056549952341e-01
6.500000000000000000e+02 5.302663466783403834e-01 4.697336533216768806e-01
6.525000000000000000e+02 5.969861608800031139e-01 4.030138391200141501e-01
6.550000000000000000e+02 6.240544157078354859e-01 3.759455842921810009e-01
6.575000000000000000e+02 5.865916770549910453e-01 4.134083229450254415e-01
6.600000000000000000e+02 4.945698509161441936e-01 5.054301490838722932e-01
6.625000000000000000e+02 3.943106890091239158e-01 6.056893109908920714e-01
6.650000000000000000e+02 3.456788161688976180e-01 6.543211838311191464e-01
6.675000000000000000e+02 3.855519871783681940e-01 6.144480128216488479e-01
6.700000000000000000e+02 5.007048577840802484e-01 4.992951422159361274e-01
6.725000000000000000e+02 6.302304923249604229e-01 3.697695076750565635e-01
