# time_fs  Nvib_ground  Evib_ground_eV  Nvib_excited  Evib_excited_eV
1.077500000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 4.819557548966655336e-01 9.590919522443645817e-02
1.080000000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 4.675044773232118756e-01 9.303339098731917833e-02
1.082500000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 4.478937265094496412e-01 8.913085157538049030e-02
1.085000000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 4.295515127428536917e-01 8.548075103582790379e-02
1.087500000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 4.203178012935840924e-01 8.364324245742324471e-02
1.090000000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 4.239682564139505283e-01 8.436968302637616601e-02
1.092500000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 4.357427609760267662e-01 8.671280943422933485e-02
1.095000000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 4.440937896086247783e-01 8.837466413211635119e-02
1.097500000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 4.384052591811788413e-01 8.724264657705459169e-02
1.100000000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 4.168478736803694074e-01 8.295272686239352211e-02
1.102500000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 3.879989510915494710e-01 7.721179126721834651e-02
1.105000000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 3.646472142065001476e-01 7.256479562709353126e-02
1.107500000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 3.546984998120576438e-01 7.058500146259948094e-02
1.110000000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 3.566939476007754961e-01 7.098209557255433233e-02
1.112500000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 3.630120719469759338e-01 7.223940231744821472e-02
1.115000000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 3.664503723943986491e-01 7.292362410648534077e-02
1.117500000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 3.636366028022193775e-01 7.236368395764167238e-02
1.120000000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 3.538553622398452614e-01 7.041721708572921956e-02
1.122500000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 3.374952381320646677e-01 6.716155238828086516e-02
1.125000000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 3.171797601997574656e-01 6.311877227975173921e-02
1.127500000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 2.990003978387475447e-01 5.950107916991077134e-02
1.130000000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 2.897639572277077580e-01 5.766302748831384634e-02
1.132500000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 2.913052217181399950e-01 5.796973912190986344e-02
1.135000000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 2.975393945591559008e-01 5.921033951727203148e-02
1.137500000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 2.979074908600611304e-01 5.928359068115217345e-02
1.140000000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 2.849349478112053191e-01 5.670205461442986289e-02
1.142500000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 2.599800711847310986e-01 5.173603416576149500e-02
1.145000000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 2.324505569687439488e-01 4.625766083678005403e-02
1.147500000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 2.127994221927732299e-01 4.234708501636187672e-02
1.150000000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 2.050838322758564147e-01 4.081168262289543158e-02
1.152500000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 2.055246199437197052e-01 4.089939936880022942e-02
1.155000000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 2.075085320512574938e-01 4.129419787820024640e-02
1.157500000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 2.069778932850638853e-01 4.118860076372771878e-02
1.160000000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 2.029477760212351767e-01 4.038660742822580696e-02
1.162500000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 1.947828721510413141e-01 3.876179155805722920e-02
1.165000000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 1.815905903533439891e-01 3.613652748031545570e-02
1.167500000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 1.648770812782949235e-01 3.281053917438069706e-02
1.170000000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 1.499047383159602398e-01 2.983104292487608750e-02
1.172500000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 1.423137186578627145e-01 2.832043001291468035e-02
1.175000000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 1.428103263644550647e-01 2.841925494652655648e-02
1.177500000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 1.455345451433938397e-01 2.896137448353537647e-02
1.180000000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 1.421018929090293592e-01 2.827827668889684731e-02
1.182500000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 1.280991621621407062e-01 2.549173327026600308e-02
1.185000000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 1.067311978905538250e-01 2.123950838022021365e-02
1.187500000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 8.637301489311813296e-02 1.718822996373050790e-02
1.190000000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 7.386818453804605555e-02 1.469976872307116739e-02
1.192500000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 6.970741306485407629e-02 1.387177519990596269e-02
1.195000000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 6.956324936092497802e-02 1.384308662282407107e-02
1.197500000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 6.970517743499246577e-02 1.387133030956350273e-02
1.200000000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 6.970455327180635763e-02 1.387120610108946543e-02
1.202500000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 6.997517139774223072e-02 1.392505910815070545e-02
1.205000000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 6.865962648567414117e-02 1.366326567064915509e-02
1.207500000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 6.283706544765807478e-02 1.250457602408395867e-02
1.210000000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 5.262733831650783650e-02 1.047284032498506032e-02
1.212500000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 4.249417111666600744e-02 8.456340052216536340e-03
1.215000000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 3.751233566683779413e-02 7.464954797700720790e-03
1.217500000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 3.847724150782914215e-02 7.656971060057999635e-03
1.220000000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 4.089187829419801273e-02 8.137483780545405262e-03
1.222500000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 3.878659189346324310e-02 7.718531786799185529e-03
1.225000000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 2.993115174430694553e-02 5.956299197117083041e-03
1.227500000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 1.775229027162153472e-02 3.532705764052685837e-03
1.230000000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 8.034540467949059447e-03 1.598873553121862986e-03
1.232500000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 3.620953895050285296e-03 7.205698251150068154e-04
1.235000000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 2.770792031290380229e-03 5.513876142267857237e-04
1.237500000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 2.763070057138906736e-03 5.498509413706425186e-04
1.240000000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 3.932108414210945188e-03 7.824895744279782017e-04
1.242500000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 8.842077179658194841e-03 1.759573358751980983e-03
