# time_fs Evib_g_n0_eV Evib_g_n1_eV Evib_g_n2_eV Evib_g_n3_eV Evib_g_n4_eV Evib_e_n0_eV Evib_e_n1_eV Evib_e_n2_eV Evib_e_n3_eV Evib_e_n4_eV
4.225000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 8.962447867615241275e-04 1.996798087445759509e-05 2.222377662274730334e-07 1.366444610206639178e-09
4.250000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 6.705102285051179603e-04 1.691191909213632914e-05 2.345369535411851187e-07 1.906957939895284026e-09
4.275000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 6.799460901143499674e-04 1.476840721427793104e-05 1.704479910077512638e-07 1.381444223671326087e-09
4.300000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.904118150364537786e-04 1.203157439075640443e-05 7.923102046504436455e-08 3.613485814609136966e-10
4.325000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 8.602985821599350678e-04 7.820826273843806234e-06 2.437722136176802801e-08 6.715051927068088825e-11
4.350000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.048091694432241171e-04 4.585598976638364976e-06 7.220558721874554448e-09 3.389061229483589209e-11
4.375000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.042392541158649200e-03 3.609298225336993884e-06 3.849643160681727488e-09 1.214164355016336007e-11
4.400000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.299630659534096360e-03 6.242215224083175552e-06 1.239266651664676673e-08 3.052848575103655755e-11
4.425000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.538254946489299013e-03 1.421941034311547993e-05 6.992734099171487388e-08 2.720517012355065662e-10
4.450000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.618472683349932335e-03 2.361998327586802370e-05 2.196784841034108898e-07 1.475850542657895868e-09
4.475000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.604485200403382803e-03 2.894049232367029649e-05 3.551644682374576599e-07 2.896208585641067533e-09
4.500000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.758892753466505515e-03 3.130604002488774994e-05 3.726933210243361704e-07 2.601725657248188035e-09
4.525000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.303193085796686849e-03 3.316266730801060541e-05 3.057130146655539980e-07 1.435657371992594811e-09
4.550000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.168925218013736791e-03 3.288939373829635786e-05 2.372199305812545359e-07 1.086733006452127431e-09
4.575000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.003342395908960141e-03 3.119778966043126162e-05 2.032752178495122575e-07 8.154200065841646975e-10
4.600000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.458887552223901943e-03 3.104286794346021840e-05 2.034111818822832182e-07 7.182512467623480411e-10
4.625000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.481292560208542317e-03 2.943781901962467927e-05 2.509708377411027906e-07 1.227680660281380051e-09
4.650000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.302529932307532640e-03 2.240510424177754621e-05 2.509560744673175179e-07 1.751304570278323353e-09
4.675000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.191734322134648728e-03 1.348721683021473098e-05 1.496875100405663726e-07 1.294955131415959565e-09
4.700000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.262040505582756142e-03 7.468744861140771958e-06 4.655873846993932140e-08 3.279292396592949551e-10
4.725000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.493009191920978307e-03 4.502736141316679171e-06 5.723612840746524385e-09 1.142759980027008919e-11
4.750000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.862492976367048352e-03 4.415560826965273353e-06 1.448646849137907760e-08 6.229071023212016167e-11
4.775000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 5.396380792485840940e-03 7.437958002003940071e-06 4.012853174523654842e-08 1.446161176752261784e-10
4.800000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 6.072071373059321348e-03 1.314830349206328134e-05 6.611994356714203128e-08 2.877616074885887566e-10
4.825000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 6.715918812672999616e-03 2.356519287522617877e-05 1.017999323830340458e-07 2.981195099421703964e-10
