# time_fs P_g_n0 P_g_n1 P_g_n2 P_g_n3 P_g_n4 P_e_n0 P_e_n1 P_e_n2 P_e_n3 P_e_n4
7.500000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.591297849576049250e-01 4.084546295343404604e-02 2.472079509839452034e-05 3.127332495025495861e-08 2.054010913614794715e-11
7.750000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.573435334640583161e-01 4.262491727618181181e-02 3.143083677436344536e-05 1.179431700424793051e-07 4.798168470540044503e-10
8.000000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.563665757567690884e-01 4.359247701986253970e-02 4.075382758066215601e-05 1.926934370207734176e-07 7.023533008637302876e-10
8.250000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.563701705994559488e-01 4.358826914636254601e-02 4.135189972736104608e-05 2.077748945653732953e-07 5.795611525263287740e-10
8.500000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.568202370644898203e-01 4.313583796040498797e-02 4.372992441195156876e-05 1.944085967641301742e-07 6.420978993771808078e-10
8.750000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.561224170927068444e-01 4.381354113143177964e-02 6.379734742484359988e-05 2.438740847786342071e-07 5.543537588938649814e-10
9.000000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.526738613787169019e-01 4.721482852687328841e-02 1.107134106606605557e-04 5.945734670364831778e-07 2.110283605900743136e-09
9.250000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.464966066916400411e-01 5.332400325150429138e-02 1.781436222863840891e-04 1.239936905496294094e-06 6.497666554493900314e-09
9.500000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.396514756871860996e-01 6.011647180837970811e-02 2.304562172618688728e-04 1.588496274615508720e-06 7.790899867864080785e-09
9.750000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.348376731083898328e-01 6.493183882441620758e-02 2.292305109947131493e-04 1.252961045094716862e-06 4.595156254781804692e-09
1.000000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.333857583251659040e-01 6.643316420835429503e-02 1.803187196819366889e-04 7.565456802842164867e-07 2.201119739494276275e-09
1.025000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.343494456280654337e-01 6.552539308068082435e-02 1.246242699201002596e-04 5.352588271133188436e-07 1.762507399169995336e-09
1.050000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.353816231000948722e-01 6.452891685779699182e-02 8.899994629058135490e-05 4.585999350490713379e-07 1.495885034225375549e-09
1.075000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.345427042594263156e-01 6.538408957133585997e-02 7.278555560810156156e-05 4.192721788122911310e-07 1.341453073345123755e-09
1.100000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.314671975910095991e-01 6.846695647433077847e-02 6.546160947036575224e-05 3.826372820749439177e-07 1.687909028616119222e-09
1.125000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.271052444286739247e-01 7.283653710327959996e-02 5.795956902931943735e-05 2.578752662004831795e-07 1.023753082298805414e-09
1.150000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.226916985326057974e-01 7.725552880216204898e-02 5.264884226321625885e-05 1.236919721064557868e-07 1.309995209454607395e-10
1.175000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.190930825376389945e-01 8.084632266569294345e-02 6.040629274873413279e-05 1.879722196402308699e-07 5.317022002106152929e-10
